OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE,ORBITAL_PERIOD,ORBITAL_PERIOD_HOURS,ALTITUDE,PERIGEE,APOGEE
BISONSAT,2015-058L,2024-12-31T14:15:10.818144,14.99650723,0.0150932,64.7666,75.6226,245.9811,112.5446,0,U,40974,999,3527,0.0020057,0.00031514,0.0,6946.111661745365,CubeSat,5761.344728933499,1.6003735358148607,575.1116617453654,6841.27260921231,7050.95071427842
RAVAN,2016-067B,2024-12-30T18:22:53.235552,15.22862699,0.001159,98.055,196.1972,76.6148,283.6378,0,U,41849,999,44580,0.001544,0.00036295,0.0,6875.34784246486,CubeSat,5673.528410585465,1.5759801140515182,504.34784246486015,6867.3793143154435,6883.316370614276
SNAP-3 JIMI,2015-058M,2024-12-31T20:41:52.176480,14.92817304,0.0167748,64.769,93.5714,246.9146,111.4209,0,U,40975,999,3447,0.0017478,0.00023812,0.0,6967.292888291544,CubeSat,5787.717468873447,1.6076992969092907,596.2928882915439,6850.417943549031,7084.167833034057
VERONIKA,2023-174F,2024-12-31T21:45:36.442656,15.38743332,0.0008048,97.438,81.7688,261.7779,98.2553,0,U,58261,999,6391,0.0020125,0.00077744,0.0,6827.961317065106,CubeSat,5614.974641006186,1.559715178057274,456.9613170651064,6822.466173797132,6833.456460333081
SITRO-AIS 10 (BURDAEV),2023-091AK,2025-01-01T03:35:41.125920,15.18283299,0.0011447,97.586,59.9996,142.6001,217.6032,0,U,57199,999,8351,0.0014115,0.00029003,0.0,6889.165712413123,CubeSat,5690.640734761427,1.5807335374337297,518.1657124131234,6881.279684422124,6897.051740404123
CUTE-1 (CO-55),2003-031E,2024-12-31T22:55:56.846784,14.23737601,0.0008725,98.6776,11.3005,293.8546,66.1718,0,U,27844,999,11592,0.00062873,1.393e-05,0.0,7190.877184786641,CubeSat,6068.537335902925,1.6857048155285903,819.877184786641,7184.6031444429145,7197.1512251303675
CORVUS BC4,2018-099K,2025-01-01T01:57:24.169536,15.0584322,0.0010443,97.4856,54.4393,37.1114,323.0833,0,U,43767,999,33213,0.00087524,0.00012672,0.0,6927.055534220498,CubeSat,5737.652282418459,1.5937923006717942,556.055534220498,6919.821610126111,6934.2894583148845
SITRO-AIS 51,2024-039M,2025-01-01T03:19:43.219488,15.50845878,0.00076,97.41,330.6358,204.8311,155.2576,0,U,59062,999,4701,0.0019855,0.00116183,0.0,6792.392096062064,CubeSat,5571.1563029974795,1.5475434174993,421.3920960620644,6787.229878069057,6797.554314055073
MOVE-II,2018-099Y,2024-12-31T20:22:44.581440,15.35518885,0.0004675,97.4927,70.1175,14.1524,345.985,0,U,43780,999,33303,0.0025418,0.000886,0.0,6837.516697717921,CubeSat,5626.765566088991,1.56299043502472,466.5166977179206,6834.320158661738,6840.713236774104
GRBBETA,2024-128C,2025-01-01T04:08:58.604928,15.0015615,0.0033663,61.9938,274.3611,19.3577,340.8782,0,U,60237,999,2626,0.0010683,0.00013391,0.0,6944.551402147658,CubeSat,5759.403638212836,1.59983434394801,573.5514021476583,6921.173958762608,6967.928845532708
