OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,DEBRIS_TYPE,ORBITAL_PERIOD,ORBITAL_PERIOD_HOURS,ALTITUDE,PERIGEE,APOGEE
FENGYUN 1C DEB,1999-025AFQ,2024-12-31T21:06:28.035360,14.21706031,0.0121216,98.8388,71.6014,145.7311,276.9109,0,U,30453,999,92314,0.0045513,0.00010747,0.0,7197.72590175605,FENGYUN 1C,6077.209071217171,1.6881136308936586,826.72590175605,7110.477947465324,7284.973856046776
FENGYUN 1C DEB,1999-025AFR,2024-12-31T18:28:19.301376,14.09457838,0.0185987,98.1143,2.8168,116.0549,56.1537,0,U,30454,999,91075,0.0057789,0.00011827,0.0,7239.364580321917,FENGYUN 1C,6130.020036964994,1.702783343601387,868.364580321917,7104.721810301884,7374.007350341951
FENGYUN 1C DEB,1999-025AFZ,2024-12-31T19:49:16.280832,14.05859171,0.0140992,98.7913,358.5204,141.5222,339.5629,0,U,30462,999,91932,0.00033099,5.5e-06,0.0,7251.71335657652,FENGYUN 1C,6145.71143854448,1.7071420662623555,880.7133565765198,7149.469999619476,7353.956713533564
FENGYUN 1C DEB,1999-025AGB,2024-12-31T09:03:34.626240,14.10079482,0.0109963,98.8877,55.7239,155.8333,217.2899,0,U,30464,999,92182,0.00029306,5.04e-06,0.0,7237.236738904424,FENGYUN 1C,6127.317572157512,1.7020326589326422,866.2367389044239,7157.65391255241,7316.819565256438
FENGYUN 1C DEB,1999-025AGC,2024-12-30T22:50:51.792576,14.29097655,0.0018624,98.8436,82.112,320.6623,94.1154,0,U,30465,999,92396,0.0052039,0.00013192,0.0,7172.885587533541,FENGYUN 1C,6045.776338634717,1.6793823162874213,801.8855875335412,7159.526805415318,7186.244369651764
FENGYUN 1C DEB,1999-025AGD,2024-12-31T09:36:24.426144,14.19970671,0.0119825,98.6861,46.5439,305.1531,64.735,0,U,30466,999,92431,0.0032928,7.484e-05,0.0,7203.588981935655,FENGYUN 1C,6084.636087668434,1.6901766910190095,832.5889819356553,7117.2719769596115,7289.905986911699
FENGYUN 1C DEB,1999-025AGE,2024-12-30T20:19:54.236064,14.15525908,0.0066245,98.7135,35.2741,42.2551,131.9206,0,U,30467,999,92266,0.0025478,5.047e-05,0.0,7218.660653731823,FENGYUN 1C,6103.741895056408,1.6954838597378912,847.660653731823,7170.840636231176,7266.48067123247
FENGYUN 1C DEB,1999-025AGF,2024-12-31T20:44:33.423936,14.17459786,0.007523,98.9402,79.6795,307.0614,115.2927,0,U,30468,999,91904,0.004815,0.00010003,0.0,7212.093419666536,FENGYUN 1C,6095.414398019023,1.6931706661163952,841.0934196665357,7157.836840870385,7266.349998462687
FENGYUN 1C DEB,1999-025AGG,2024-12-31T21:32:24.006048,13.95073339,0.0163061,98.5111,238.1627,53.2325,73.6545,0,U,30469,999,90881,0.0030887,4.614e-05,0.0,7289.042491271221,FENGYUN 1C,6193.226224501278,1.7203406179170218,918.0424912712206,7170.186635504303,7407.898347038138
FENGYUN 1C DEB,1999-025AGJ,2024-12-29T16:28:08.734080,14.10892061,0.0087008,99.0674,82.5571,155.0371,359.7558,0,U,30471,999,91529,0.0046992,8.695e-05,0.0,7234.457697477298,FENGYUN 1C,6123.788649057655,1.7010524025160152,863.4576974772981,7171.512127943088,7297.403267011508
