OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
MONITOR-4 (RS57S),2023-091S,2024-12-31T22:07:06.248640,15.14565820,.0016219,97.5865,58.0374,154.0926,206.1121,0,U,57182,999,8336,.11063E-2,.20445E-3,0
MONITOR-2 (RS39S),2023-091U,2025-01-01T02:28:49.750176,15.11646456,.0013783,97.5872,57.8394,148.9099,211.2949,0,U,57184,999,8336,.876E-3,.14881E-3,0
SVYATOBOR 1 (RS60S),2023-091X,2025-01-01T02:14:39.139584,15.14827509,.0012974,97.5876,58.9345,143.4035,216.8085,0,U,57187,999,8343,.10954E-2,.20368E-3,0
VIZARD-METEO (RS38S),2023-091Z,2025-01-01T02:38:42.714240,15.17789453,.0011675,97.5863,59.9308,139.0109,221.2004,0,U,57189,999,8350,.13993E-2,.28346E-3,0
NANOZOND 1 (RS49S),2023-091AA,2025-01-01T03:44:27.521376,15.24455151,.0009389,97.5829,61.6744,137.8654,222.3306,0,U,57190,999,8363,.19524E-2,.48184E-3,0
POLYTECH-UNIVERSE 3 (RS46S),2023-091AB,2025-01-01T02:37:14.232864,15.11675032,.001835,97.5838,57.4419,166.4385,193.7342,0,U,57191,999,8335,.82314E-3,.14013E-3,0
UTMN 2 (RS27S),2023-091AP,2024-12-31T22:25:25.794912,15.16691279,.0012189,97.5863,59.3925,140.2981,219.9147,0,U,57203,999,8345,.12132E-2,.23797E-3,0
ARCCUBE 1 (RS25S),2023-091AR,2025-01-01T02:43:22.085184,15.28334545,.0008834,97.5775,62.3019,138.3309,221.8605,0,U,57205,999,8368,.21863E-2,.60746E-3,0
KUZGTU 1 (RS47S),2023-091AV,2025-01-01T03:28:33.690432,15.15249977,.001575,97.5851,58.4138,152.5417,207.6650,0,U,57217,999,8341,.13017E-2,.24546E-3,0
SONATE-2,2024-043Q,2024-12-31T14:08:32.929728,15.27610234,.0012171,97.4962,129.7349,325.6266,34.4184,0,U,59112,999,4584,.10983E-2,.29721E-3,0
MESAT1,2024-125G,2024-12-31T19:53:08.772000,15.27772219,.0022799,97.2957,214.9372,352.6491,7.4411,0,U,60209,999,2749,.12693E-2,.34743E-3,0
OOV-CUBE (TUBSAT-30),2024-128F,2024-12-31T18:07:06.476448,14.98608346,.0031891,61.9981,276.8257,14.7576,345.4436,0,U,60240,999,2619,.70944E-3,.8451E-4,0
COLIBRI-S (RS67S),2024-199M,2025-01-01T02:49:36.599808,15.26262952,.0015442,97.3797,231.1604,35.0771,325.1482,0,U,61746,999,5571,.11713E-2,.30479E-3,0
HORS 3 (RS81S),2024-199U,2024-12-31T22:09:12.993984,15.26343054,.001415,97.3770,230.9447,42.7746,317.4591,0,U,61753,999,5568,.13001E-2,.33918E-3,0
HORS 4 (RS82S),2024-199V,2024-12-31T22:00:41.847264,15.26611604,.0014352,97.3770,230.9518,42.7180,317.5171,0,U,61754,999,5568,.1364E-2,.3589E-3,0
HORIZON (RS59S),2024-199Y,2024-12-31T21:39:21.431232,15.27243284,.0015421,97.3798,230.9898,33.8025,326.4194,0,U,61757,999,5568,.16025E-2,.43052E-3,0
SIT-2086,2024-199AF,2025-01-01T02:13:34.064832,15.27272105,.0012653,97.3773,231.1750,43.5600,316.6636,0,U,61764,999,5255,.13779E-2,.36969E-3,0
MORDOVIA-IOT (RS50S),2024-199AG,2024-12-31T22:37:39.267840,15.28318214,.0015181,97.3796,231.0882,30.9238,329.2892,0,U,61765,999,5254,.18428E-2,.51213E-3,0
