OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE
SONATE,2019-038Q,2025-01-01T01:51:34.412832,15.52589744,0.0013798,97.7116,12.4352,109.9736,250.3003,0,U,44400,999,30457,0.0012865,0.00079927,0.0,6787.305008429758,CubeSat
DUCHIFAT-3,2019-089C,2024-12-31T21:09:50.194944,15.30078326,0.0012599,36.9504,277.8154,303.1274,56.8268,0,U,44854,999,27841,0.0018527,0.00055699,0.0,6853.715390126114,CubeSat
M2 PATHFINDER,2020-037E,2024-12-31T10:33:44.747136,15.00051406,0.0011662,97.7772,182.3437,161.3691,198.7961,0,U,45727,999,24548,0.00073378,9.096e-05,0.0,6944.874676236384,CubeSat
NETSAT-4,2020-068U,2024-12-31T20:33:19.238688,15.23283557,0.0010504,97.8296,330.6897,48.3444,311.8689,0,U,46504,999,23417,0.001259,0.00029917,0.0,6874.081421040296,CubeSat
NETSAT-3,2020-068V,2024-12-31T15:50:59.659008,15.22447064,0.0010117,97.8283,329.74,57.3725,302.8485,0,U,46505,999,23412,0.0011768,0.00027264,0.0,6876.599119771099,CubeSat
NETSAT-1,2020-068W,2024-12-31T08:31:32.784384,15.1920245,0.0009476,97.8304,328.2272,68.461,291.7633,0,U,46506,999,23399,0.0008692,0.00018274,0.0,6886.386700638909,CubeSat
NETSAT-2,2020-068X,2024-12-31T21:10:25.510944,15.23114876,0.0008707,97.8284,330.2877,70.4644,289.7531,0,U,46507,999,23412,0.0011971,0.00028282,0.0,6874.588936065405,CubeSat
WILDTRACKCUBE-SIMBA,2021-022K,2025-01-01T03:03:50.437440,15.33297865,0.0012377,97.4404,263.3477,154.2658,205.9202,0,U,47941,999,20866,0.001446,0.00046787,0.0,6844.117979726442,CubeSat
GRBALPHA,2021-022AD,2025-01-01T03:21:35.540352,15.45697971,0.0010713,97.4392,267.4165,132.5483,227.6672,0,U,47959,999,20775,0.0020857,0.00101987,0.0,6807.46499426965,CubeSat
BEESAT-8,2021-022AP,2024-12-30T17:18:46.450944,15.73466822,0.0011434,97.4765,273.5903,103.2949,256.959,0,U,48085,999,20823,0.0029596,0.00432562,0.0,6727.134559725418,CubeSat
LEDSAT,2021-073D,2024-12-31T16:14:15.566784,15.39837446,0.0013308,97.4135,78.0819,302.7865,57.2098,0,U,49069,999,18667,0.0014512,0.00058039,0.0,6824.7265803703385,CubeSat
ROBUSTA-1F (MTCUBE 2),2022-080E,2024-12-30T08:26:30.346368,6.42584036,0.000838,70.1231,123.9128,45.3679,314.7663,0,U,53109,999,5776,0.0,-3e-08,0.0,12221.238513364082,CubeSat
SITRO-AIS 5 (KATYS),2023-091L,2025-01-01T02:44:48.308064,15.1490627,0.0016014,97.5846,58.1287,158.3186,201.8727,0,U,57176,999,8339,0.0012778,0.00023862,0.0,6899.400130968485,CubeSat
SITRO-AIS 6 (CHIRKIN),2023-091AC,2025-01-01T02:16:33.552192,15.14910196,0.0015921,97.5848,58.1393,157.8817,202.3105,0,U,57192,999,8339,0.001123,0.00020956,0.0,6899.388210765036,CubeSat
SITRO-AIS 8 (ANOKHIN),2023-091AD,2025-01-01T02:58:21.462528,15.1575941,0.0015486,97.5843,58.396,158.1278,202.0618,0,U,57193,999,8341,0.0013444,0.00025724,0.0,6896.811018873239,CubeSat
SITRO-AIS 7 (FARTUSHNIY),2023-091AE,2025-01-01T01:01:46.642080,15.14813079,0.0015775,97.5845,58.0459,158.821,201.3678,0,U,57194,999,8338,0.001205,0.00022433,0.0,6899.683094551788,CubeSat
SITRO-AIS 10 (BURDAEV),2023-091AK,2025-01-01T03:35:41.125920,15.18283299,0.0011447,97.586,59.9996,142.6001,217.6032,0,U,57199,999,8351,0.0014115,0.00029003,0.0,6889.165712413123,CubeSat
SITRO-AIS 9 (SHCHUKIN),2023-091AM,2024-12-31T22:56:04.344576,15.18193701,0.0011379,97.5856,59.7611,143.44,216.7613,0,U,57201,999,8348,0.0014107,0.00028911,0.0,6889.436757931628,CubeSat
SITRO-AIS 12 (SMIRENNIY),2023-091AQ,2025-01-01T03:45:08.198496,15.18395368,0.0011404,97.5864,60.1755,137.167,223.0454,0,U,57204,999,8352,0.0014464,0.00029821,0.0,6888.826726741741,CubeSat
SITRO-AIS 11 (SHEFFER),2023-091AU,2024-12-31T22:17:48.623136,15.1852976,0.0011208,97.586,60.0001,138.4693,221.7394,0,U,57208,999,8349,0.0013426,0.00027774,0.0,6888.420273569207,CubeSat
VERONIKA,2023-174F,2024-12-31T21:45:36.442656,15.38743332,0.0008048,97.438,81.7688,261.7779,98.2553,0,U,58261,999,6391,0.0020125,0.00077744,0.0,6827.961317065106,CubeSat
ROBUSTA-1E (ENSO),2023-185J,2025-01-01T02:57:21.565728,15.37587317,0.0008571,97.3998,73.245,299.1586,60.88,0,U,58470,999,6039,0.00161,0.0005976,0.0,6831.383230897343,CubeSat
SITRO-AIS 29,2024-039B,2025-01-01T03:59:59.112096,15.50125488,0.0008356,97.4107,330.4478,206.1063,153.9768,0,U,59052,999,4700,0.0019721,0.00112474,0.0,6794.4963525486255,CubeSat
SITRO-AIS 30,2024-039C,2025-01-01T03:15:19.439424,15.49477076,0.0008524,97.4107,330.3308,209.9445,150.132,0,U,59053,999,4698,0.0019392,0.00108052,0.0,6796.391755766629,CubeSat
SITRO-AIS 31,2024-039D,2025-01-01T02:16:59.752992,15.49969264,0.000829,97.4107,330.3848,210.2593,149.818,0,U,59054,999,4700,0.0018851,0.00106841,0.0,6794.952897329877,CubeSat
SITRO-AIS 33,2024-039E,2025-01-01T03:15:50.609088,15.50123368,0.000803,97.4107,330.4963,208.0044,152.0777,0,U,59055,999,4700,0.0020068,0.00114464,0.0,6794.502547465874,CubeSat
SITRO-AIS 35,2024-039F,2025-01-01T03:05:15.221760,15.50203349,0.0007933,97.4108,330.4996,209.9924,150.0874,0,U,59056,999,4700,0.0019905,0.00113841,0.0,6794.268842306414,CubeSat
SITRO-AIS 32,2024-039G,2025-01-01T03:56:19.648320,15.49752095,0.0008184,97.4112,330.4615,210.3109,149.7669,0,U,59057,999,4700,0.001958,0.00110175,0.0,6795.587673549219,CubeSat
SITRO-AIS 34,2024-039H,2025-01-01T03:15:09.163008,15.50101735,0.0007994,97.4109,330.4987,208.2278,151.8541,0,U,59058,999,4700,0.0019547,0.0011136,0.0,6794.565762728206,CubeSat
SITRO-AIS 36,2024-039J,2025-01-01T04:16:07.960224,15.5019152,0.0007687,97.4101,330.5887,208.257,151.8266,0,U,59059,999,4701,0.0019045,0.00108797,0.0,6794.303405478293,CubeSat
SITRO-AIS 49,2024-039K,2025-01-01T03:15:48.976128,15.4979988,0.0008036,97.411,330.4968,209.5449,150.5349,0,U,59060,999,4700,0.0019591,0.00110421,0.0,6795.44798720222,CubeSat
SITRO-AIS 50,2024-039L,2025-01-01T03:25:45.510240,15.50662033,0.0007648,97.4101,330.6334,204.8891,155.1993,0,U,59061,999,4701,0.0021418,0.00124659,0.0,6792.928951772542,CubeSat
SITRO-AIS 51,2024-039M,2025-01-01T03:19:43.219488,15.50845878,0.00076,97.41,330.6358,204.8311,155.2576,0,U,59062,999,4701,0.0019855,0.00116183,0.0,6792.392096062064,CubeSat
SITRO-AIS 52,2024-039N,2025-01-01T02:52:11.077824,15.50881763,0.0007425,97.4107,330.667,206.9124,153.1744,0,U,59063,999,4701,0.0020058,0.00117535,0.0,6792.287318708446,CubeSat
SITRO-AIS 25,2024-039R,2025-01-01T02:09:00.339264,14.86724666,0.0162793,95.3845,231.5899,21.0414,339.7403,0,U,59066,999,4547,0.0011166,0.00012645,0.0,6986.3146812156565,CubeSat
SITRO-AIS 26,2024-039S,2025-01-01T00:47:12.152256,14.86589785,0.0162978,95.3846,231.5339,21.3619,339.4302,0,U,59067,999,4546,0.0011105,0.00012537,0.0,6986.737262199708,CubeSat
SITRO-AIS 27,2024-039T,2025-01-01T03:04:49.534176,14.86879158,0.0162357,95.3849,231.6681,20.6608,340.1078,0,U,59068,999,4548,0.0010918,0.00012399,0.0,6985.830737642158,CubeSat
SITRO-AIS 28,2024-039U,2025-01-01T02:52:28.627392,14.86919317,0.0162158,95.3851,231.6793,20.6435,340.1238,0,U,59071,999,4548,0.0011796,0.00013406,0.0,6985.704953978252,CubeSat
