OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SITRO-AIS 5 (KATYS),2023-091L,2025-01-01T02:44:48.308064,15.14906270,.0016014,97.5846,58.1287,158.3186,201.8727,0,U,57176,999,8339,.12778E-2,.23862E-3,0
SITRO-AIS 6 (CHIRKIN),2023-091AC,2025-01-01T02:16:33.552192,15.14910196,.0015921,97.5848,58.1393,157.8817,202.3105,0,U,57192,999,8339,.1123E-2,.20956E-3,0
SITRO-AIS 8 (ANOKHIN),2023-091AD,2025-01-01T02:58:21.462528,15.15759410,.0015486,97.5843,58.3960,158.1278,202.0618,0,U,57193,999,8341,.13444E-2,.25724E-3,0
SITRO-AIS 7 (FARTUSHNIY),2023-091AE,2025-01-01T01:01:46.642080,15.14813079,.0015775,97.5845,58.0459,158.8210,201.3678,0,U,57194,999,8338,.1205E-2,.22433E-3,0
SITRO-AIS 10 (BURDAEV),2023-091AK,2025-01-01T03:35:41.125920,15.18283299,.0011447,97.5860,59.9996,142.6001,217.6032,0,U,57199,999,8351,.14115E-2,.29003E-3,0
SITRO-AIS 9 (SHCHUKIN),2023-091AM,2024-12-31T22:56:04.344576,15.18193701,.0011379,97.5856,59.7611,143.4400,216.7613,0,U,57201,999,8348,.14107E-2,.28911E-3,0
SITRO-AIS 12 (SMIRENNIY),2023-091AQ,2025-01-01T03:45:08.198496,15.18395368,.0011404,97.5864,60.1755,137.1670,223.0454,0,U,57204,999,8352,.14464E-2,.29821E-3,0
SITRO-AIS 11 (SHEFFER),2023-091AU,2024-12-31T22:17:48.623136,15.18529760,.0011208,97.5860,60.0001,138.4693,221.7394,0,U,57208,999,8349,.13426E-2,.27774E-3,0
VERONIKA,2023-174F,2024-12-31T21:45:36.442656,15.38743332,.0008048,97.4380,81.7688,261.7779,98.2553,0,U,58261,999,6391,.20125E-2,.77744E-3,0
ROBUSTA-1E (ENSO),2023-185J,2025-01-01T02:57:21.565728,15.37587317,.0008571,97.3998,73.2450,299.1586,60.8800,0,U,58470,999,6039,.161E-2,.5976E-3,0
SITRO-AIS 29,2024-039B,2025-01-01T03:59:59.112096,15.50125488,.0008356,97.4107,330.4478,206.1063,153.9768,0,U,59052,999,4700,.19721E-2,.112474E-2,0
SITRO-AIS 30,2024-039C,2025-01-01T03:15:19.439424,15.49477076,.0008524,97.4107,330.3308,209.9445,150.1320,0,U,59053,999,4698,.19392E-2,.108052E-2,0
SITRO-AIS 31,2024-039D,2025-01-01T02:16:59.752992,15.49969264,.000829,97.4107,330.3848,210.2593,149.8180,0,U,59054,999,4700,.18851E-2,.106841E-2,0
SITRO-AIS 33,2024-039E,2025-01-01T03:15:50.609088,15.50123368,.000803,97.4107,330.4963,208.0044,152.0777,0,U,59055,999,4700,.20068E-2,.114464E-2,0
SITRO-AIS 35,2024-039F,2025-01-01T03:05:15.221760,15.50203349,.0007933,97.4108,330.4996,209.9924,150.0874,0,U,59056,999,4700,.19905E-2,.113841E-2,0
SITRO-AIS 32,2024-039G,2025-01-01T03:56:19.648320,15.49752095,.0008184,97.4112,330.4615,210.3109,149.7669,0,U,59057,999,4700,.1958E-2,.110175E-2,0
SITRO-AIS 34,2024-039H,2025-01-01T03:15:09.163008,15.50101735,.0007994,97.4109,330.4987,208.2278,151.8541,0,U,59058,999,4700,.19547E-2,.11136E-2,0
SITRO-AIS 36,2024-039J,2025-01-01T04:16:07.960224,15.50191520,.0007687,97.4101,330.5887,208.2570,151.8266,0,U,59059,999,4701,.19045E-2,.108797E-2,0
SITRO-AIS 49,2024-039K,2025-01-01T03:15:48.976128,15.49799880,.0008036,97.4110,330.4968,209.5449,150.5349,0,U,59060,999,4700,.19591E-2,.110421E-2,0
SITRO-AIS 50,2024-039L,2025-01-01T03:25:45.510240,15.50662033,.0007648,97.4101,330.6334,204.8891,155.1993,0,U,59061,999,4701,.21418E-2,.124659E-2,0
SITRO-AIS 51,2024-039M,2025-01-01T03:19:43.219488,15.50845878,.00076,97.4100,330.6358,204.8311,155.2576,0,U,59062,999,4701,.19855E-2,.116183E-2,0
SITRO-AIS 52,2024-039N,2025-01-01T02:52:11.077824,15.50881763,.0007425,97.4107,330.6670,206.9124,153.1744,0,U,59063,999,4701,.20058E-2,.117535E-2,0
SITRO-AIS 25,2024-039R,2025-01-01T02:09:00.339264,14.86724666,.0162793,95.3845,231.5899,21.0414,339.7403,0,U,59066,999,4547,.11166E-2,.12645E-3,0
SITRO-AIS 26,2024-039S,2025-01-01T00:47:12.152256,14.86589785,.0162978,95.3846,231.5339,21.3619,339.4302,0,U,59067,999,4546,.11105E-2,.12537E-3,0
SITRO-AIS 27,2024-039T,2025-01-01T03:04:49.534176,14.86879158,.0162357,95.3849,231.6681,20.6608,340.1078,0,U,59068,999,4548,.10918E-2,.12399E-3,0
SITRO-AIS 28,2024-039U,2025-01-01T02:52:28.627392,14.86919317,.0162158,95.3851,231.6793,20.6435,340.1238,0,U,59071,999,4548,.11796E-2,.13406E-3,0
GRBBETA,2024-128C,2025-01-01T04:08:58.604928,15.00156150,.0033663,61.9938,274.3611,19.3577,340.8782,0,U,60237,999,2626,.10683E-2,.13391E-3,0
OOV-CUBE (TUBSAT-30),2024-128F,2024-12-31T18:07:06.476448,14.98608346,.0031891,61.9981,276.8257,14.7576,345.4436,0,U,60240,999,2619,.70944E-3,.8451E-4,0
ROBUSTA-3A (MEDITERRANEE),2024-128J,2024-12-30T18:05:23.034048,15.00669781,.0031607,61.9910,279.6135,9.7768,350.3930,0,U,60243,999,2605,.16749E-2,.21396E-3,0
