OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 159,2018-061K,2024-12-31T15:54:54.217728,14.34219730,.0002226,86.3965,279.2229,82.7294,277.4155,0,U,43578,999,33705,.26652E-3,.766E-5,0
IRIDIUM 180,2019-002A,2024-12-31T20:55:34.826304,14.34217820,.0001831,86.3980,216.0163,86.1804,273.9601,0,U,43922,999,31269,.11084E-5,.23E-6,0
IRIDIUM 176,2019-002B,2024-12-31T07:00:43.557120,14.72261868,.0002752,86.6098,216.2648,67.2837,292.8671,0,U,43923,999,32084,.4777E-3,.3038E-4,0
IRIDIUM 168,2019-002C,2024-12-31T20:46:26.521536,14.34213179,.0002082,86.3981,216.0814,84.6077,275.5356,0,U,43924,999,31267,.2626E-3,.755E-5,0
IRIDIUM 173,2019-002D,2024-12-31T20:28:10.778592,14.34216989,.0001903,86.3976,215.9975,86.1618,273.9795,0,U,43925,999,31265,.28855E-4,.101E-5,0
IRIDIUM 169,2019-002E,2024-12-31T09:15:05.143680,14.38613378,.0000835,86.4222,247.8025,30.0125,330.1121,0,U,43926,999,31362,.33935E-3,.1058E-4,0
IRIDIUM 172,2019-002F,2024-12-31T23:39:58.694400,14.34219355,.0002029,86.3974,215.9481,84.7214,275.4213,0,U,43927,999,31268,.17911E-3,.521E-5,0
IRIDIUM 175,2019-002G,2024-12-31T10:08:47.866272,14.72260587,.000132,86.1524,178.2669,135.4854,224.6468,0,U,43928,999,32085,.18774E-3,.1209E-4,0
IRIDIUM 171,2019-002H,2024-12-31T19:51:38.900448,14.34217626,.0002009,86.3987,216.2614,98.8541,261.2882,0,U,43929,999,31265,-.11782E-5,.16E-6,0
IRIDIUM 170,2019-002J,2024-12-31T20:12:38.056896,14.72255648,.0002366,86.6098,216.0406,79.8137,280.3347,0,U,43930,999,32093,.52577E-3,.3341E-4,0
IRIDIUM 167,2019-002K,2025-01-01T02:24:22.822560,14.34217884,.000176,86.3974,215.9181,98.8592,261.2803,0,U,43931,999,31269,.31362E-3,.898E-5,0
IRIDIUM 181,2023-068S,2024-12-31T15:49:22.034784,14.43579628,.0002435,86.6868,278.8545,92.8794,267.2686,0,U,56726,999,8562,.40708E-3,.1398E-4,0
IRIDIUM 177,2023-068T,2024-12-31T13:18:13.883040,14.80224753,.000174,86.1977,221.6352,90.0250,270.1170,0,U,56727,999,8757,.55571E-3,.4249E-4,0
IRIDIUM 174,2023-068U,2024-12-31T13:10:24.072672,14.80217215,.00023,86.1976,221.7574,90.3648,269.7836,0,U,56728,999,8757,.55376E-3,.4234E-4,0
IRIDIUM 178,2023-068V,2024-12-31T13:02:36.143232,14.80243543,.0002717,86.5772,248.5602,89.9876,270.1657,0,U,56729,999,8757,.52827E-3,.4042E-4,0
IRIDIUM 179,2023-068W,2024-12-31T09:40:04.075680,14.80253123,.000235,86.6782,255.2378,82.1181,278.0308,0,U,56730,999,8755,.55463E-3,.4243E-4,0
